,IRON_FEED_PERC_mean,SILICA_FEED_PERC_mean,STARCH_FLOW_mean,AMINA_FLOW_mean,ORE_PULP_FLOW_mean,ORE_PULP_PH_mean,ORE_PULP_DENSITY_mean,IRON_CONCENTRATE_PERC_mean
IRON_FEED_PERC_mean,1.0,-0.915483416225163,0.010899245868042712,-0.1131552068876464,-0.05883581249542363,0.006090382002096062,-0.17109677070766435,0.0686382083495845
SILICA_FEED_PERC_mean,-0.915483416225163,1.0,0.0007900634055513142,0.12139073021597171,0.05466981908397888,-0.006384786093802313,0.1885308503826139,-0.06261280039844988
STARCH_FLOW_mean,0.010899245868042712,0.0007900634055513142,1.0,0.186463205632762,0.054720917419418896,0.3704591596294926,0.13263539616150632,0.10652760683879807
AMINA_FLOW_mean,-0.1131552068876464,0.12139073021597171,0.186463205632762,1.0,-0.048507310085998435,0.06960664339459094,0.3497402753385295,-0.20539209371530753
ORE_PULP_FLOW_mean,-0.05883581249542363,0.05466981908397888,0.054720917419418896,-0.048507310085998435,1.0,0.2019383240987013,-0.08493124680233785,0.12811146264183657
ORE_PULP_PH_mean,0.006090382002096062,-0.006384786093802313,0.3704591596294926,0.06960664339459094,0.2019383240987013,1.0,0.003978955766495253,0.2284088309331266
ORE_PULP_DENSITY_mean,-0.17109677070766435,0.1885308503826139,0.13263539616150632,0.3497402753385295,-0.08493124680233785,0.003978955766495253,1.0,-0.04015217247997307
IRON_CONCENTRATE_PERC_mean,0.0686382083495845,-0.06261280039844988,0.10652760683879807,-0.20539209371530753,0.12811146264183657,0.2284088309331266,-0.04015217247997307,1.0
