cluster,row_count,row_count_proportion,IRON_FEED_PERC_mean_historical_actuals,SILICA_FEED_PERC_mean_historical_actuals,STARCH_FLOW_mean_historical_actuals,AMINA_FLOW_mean_historical_actuals,ORE_PULP_FLOW_mean_historical_actuals,ORE_PULP_PH_mean_historical_actuals,ORE_PULP_DENSITY_mean_historical_actuals,FLOTATION_COLUMN_01_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_02_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_03_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_04_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_05_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_06_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_07_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_01_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_02_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_03_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_04_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_05_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_06_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_07_LEVEL_mean_historical_actuals,IRON_CONCENTRATE_PERC_mean_historical_actuals,SILICA_CONCENTRATE_PERC_mean_historical_actuals
10,8,0.001964154186103609,54.39567708333333,16.0359375,1333.0391286142399,363.47670600019035,400.7125649248572,9.308058883680555,1.5945060850439727,252.79994785879651,254.36700005787057,261.4297321469909,299.5518072631226,300.1845485637122,253.15018706597226,260.64692625104044,633.6433683431673,638.6817528065922,717.1555555573668,497.39883200832014,541.8754109519679,506.1406948865231,455.1053894169123,65.19859375,2.15015625
11,59,0.014485637122514118,58.202831920903954,12.622387005649717,2658.4880521565015,437.4766049168241,399.36450936565535,9.710807980982896,1.6449544994045266,288.23996129210445,270.71261546636265,288.7614399496669,299.9374294250678,299.75793688186013,291.4259353820988,294.9507363335958,538.9562284948012,549.2533807952447,553.7360507763519,457.5364328260029,461.11757963400913,460.23290598664954,464.5716879744139,65.27131002824859,2.078968926553672
12,75,0.018413945494721334,57.66780555555556,12.84158888888889,3080.276500125379,465.0568670240601,399.44838112487,9.631226237152054,1.6741944708995373,280.7361069459877,280.51647593364197,282.55795510339505,299.84495009550307,299.897086787712,295.2591554212963,297.12931516229423,480.75840602225674,487.29345430270234,482.32011516105393,411.84565368596816,419.40623300065965,427.633069433642,416.6830630239198,65.04730015115061,2.2557212221822156
13,56,0.013749079302725264,56.98956101190476,13.824047619047619,3866.0335558126417,543.473661985452,399.9673043949723,10.02855940224041,1.6965622457182967,281.41561044353506,279.7456220523359,281.4479533089451,299.85096850481193,299.9089633720926,293.08206771246694,291.03994014343584,474.95066793637903,502.3180429324566,478.54400711968935,451.8779387786725,452.7948966851641,441.92374992569876,437.8842343203681,65.1186936185275,2.234146342092662
14,47,0.011539405843358703,56.70025709219858,14.11328014184397,3597.379560455297,527.0877631780468,399.98448116470905,10.089271288317573,1.6917357657108654,286.68287312598505,286.69589364657213,287.2352423586486,299.9075791188452,299.90394110093064,289.512661660264,288.54449079984244,472.40325092628444,466.2547982812742,474.91695649621283,443.5808121337216,442.90142466424686,438.5315873504664,438.10599635188447,65.43742589782126,1.9759761592205007
15,13,0.0031917505524183647,50.059326923076924,23.216923076923077,4354.651654753506,510.1496788258745,400.0355711439627,10.272487120132952,1.718554546316079,292.4676609904242,292.01617532694286,292.544132480611,299.9859979418922,299.71802555644587,299.337188843384,299.77108042744936,427.2129248427113,469.94877435303897,443.0360275462963,353.4237933775522,351.32643629717245,357.6794696042062,349.22482044209005,65.89346153846154,1.9742307692307692
16,11,0.0027007120058924624,52.71287878787879,18.859621212121212,2488.8609773936087,541.6924135923372,399.9536160425665,9.664364758417507,1.7134053608915385,295.46891765572394,290.85693344907406,295.45074651725594,299.9484211228287,299.7981402582645,304.3922585753367,304.16809488636363,431.4693851704658,422.46513263888886,417.3298221856923,392.78918465909095,391.6822821624579,390.06160384858197,392.08661971296294,66.04280303030303,1.7660606060606059
17,62,0.015222194942302971,55.00842069892473,15.944079301075268,1928.7631809049533,479.6550575352749,400.0589382455138,9.579636497087813,1.697193141485271,256.9570769561954,257.0198163368493,257.3446949348548,299.58820135282053,300.14753718883986,260.79646816009557,260.79746501269415,679.2553907486175,675.233783231901,682.8816729582308,409.89799134924635,422.78373787162093,443.36340215976196,427.22592311483794,64.96917113806705,2.6038829969214192
18,37,0.009084213110729192,59.85175675675676,10.381497747747748,2850.4698006587437,412.6664284298701,398.57413447116824,9.616437801166827,1.653176711477109,291.91929983733735,283.47473981168673,292.2888065753254,299.9132388896929,299.93388294001835,296.614312743994,300.69820642204706,555.6020957820975,545.9847488711737,559.1363361223849,468.5396511374187,474.4223602737562,476.0876585998325,467.3966153979117,65.77211711711712,1.6834234234234235
19,58,0.014240117849251166,55.6947485632184,14.636206896551723,3160.2985671955767,549.4936248490319,399.11619520549976,9.615868303777559,1.6955651114622374,298.047119682525,289.15494707664243,297.95919385651825,299.8187465830964,299.80813960796684,309.3317340537197,301.57694313870263,430.50931230568744,456.4925572707629,441.6063426793379,399.7633184218049,401.6026914154947,405.7909683447385,402.166345541415,65.06836191491269,2.3941016736816296
20,26,0.006383501104836729,56.64548076923077,13.428317307692309,2244.3579509857514,488.4567945896038,399.76062957623657,9.747381975827992,1.6660424187580636,271.78286038082786,258.75722074924363,272.5338285764768,300.0495038681763,299.3633964902755,283.8188200943732,283.3277975605413,561.8835406696952,574.9343878314216,578.8683606866499,411.9363290226755,431.68153202529805,438.74532179991115,417.9007884403769,64.54472795955331,2.738624425009587
21,61,0.01497667566904002,54.6035587431694,16.81946038251366,3336.8859942909166,457.35113205188776,399.9711672044494,9.904234093579236,1.6773231570469986,279.5842629439891,279.1519270529751,279.5735033166363,299.92825163103413,299.9907807744553,306.2920603882058,306.94515083485123,489.16599578106457,483.2246884845797,503.5130698733937,424.280110855024,421.2160138748547,422.2893524210686,415.94378560261083,65.19703397625466,2.1595441252528986
22,37,0.009084213110729192,53.61629504504504,18.004245495495496,3543.8757140532152,544.7156071555177,400.0551364514172,9.9742173379004,1.695971087075251,294.9407637637638,295.49563402161897,295.93759471346345,299.9117798672428,299.86577330872916,299.93679077515014,298.0510224349349,460.69186741347164,455.60196327695223,472.37976659088764,434.9499606856857,433.1337268802253,446.69129767532866,441.43978867222484,65.08210585585586,2.268545736124293
23,22,0.005401424011784925,52.45310606060607,19.597632575757576,4197.196138778442,503.8518999237622,400.1351213404472,10.178062744963524,1.7039541906104778,283.4326341990507,269.12682427545127,283.53180085636455,299.94072026062497,300.10921547997356,298.8218187190189,284.9114614288136,502.2885473096365,528.6522873046156,511.69474575980536,414.03864136065516,411.38489532536005,415.528727046799,411.366384134959,65.61857954545454,1.914753787878788
24,62,0.015222194942302971,53.76056451612904,17.69614247311828,1768.6249664487675,498.2905922606194,400.389629275952,9.671358546949671,1.7038438033284113,270.6910112063172,270.85446204823774,271.0287169728196,299.74019174203596,300.0820515798272,272.12818224686384,272.544197171819,552.0604434044593,547.1914581513171,552.2171220099451,384.1102278034701,394.79840226824973,398.3569631495183,396.1900487045116,64.86991687737256,2.6495845108527383
25,34,0.008347655290940338,56.20411764705882,14.846874999999999,3773.7165092699224,483.8308251578247,399.5645626964346,9.97882500041534,1.6936998585954663,277.26632863221676,275.60645826865465,274.8855941108388,299.84470514537094,300.0677086816298,295.61409614311003,294.0980429738562,488.5826874464676,484.2592687865428,491.48370568831695,441.3903263577142,428.0418921806917,434.58887487669153,426.67618140593345,65.12486596944603,2.1862931720475016
26,11,0.0027007120058924624,53.23435606060607,19.104545454545455,1444.1740442369894,443.01667155088666,400.5774709180274,9.60779686026936,1.6382541086057723,275.4508032521569,273.16804668774563,275.41656834565896,299.654606276585,300.1569845701639,275.16996035809984,275.7692169300685,652.005542829815,640.1367222766194,676.9366112100493,418.86339053222764,487.5510913601882,477.00742125890736,452.9827055308682,65.62333333333333,1.8734463912228179
