,feed_blend_cluster_id,controllables_cluster_id,IRON_FEED_PERC_mean_historical_actuals,SILICA_FEED_PERC_mean_historical_actuals,STARCH_FLOW_mean_historical_actuals,AMINA_FLOW_mean_historical_actuals,ORE_PULP_FLOW_mean_historical_actuals,ORE_PULP_PH_mean_historical_actuals,ORE_PULP_DENSITY_mean_historical_actuals,FLOTATION_COLUMN_01_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_02_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_03_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_04_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_05_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_06_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_07_AIR_FLOW_mean_historical_actuals,FLOTATION_COLUMN_01_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_02_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_03_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_04_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_05_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_06_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_07_LEVEL_mean_historical_actuals,FLOTATION_COLUMN_01_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_02_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_03_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_04_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_05_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_06_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_07_AIR_FLOW_mean_simulations,FLOTATION_COLUMN_01_LEVEL_mean_simulations,FLOTATION_COLUMN_02_LEVEL_mean_simulations,FLOTATION_COLUMN_03_LEVEL_mean_simulations,FLOTATION_COLUMN_04_LEVEL_mean_simulations,FLOTATION_COLUMN_05_LEVEL_mean_simulations,FLOTATION_COLUMN_06_LEVEL_mean_simulations,FLOTATION_COLUMN_07_LEVEL_mean_simulations,IRON_CONCENTRATE_PERC_mean_simulated_predictions,SILICA_CONCENTRATE_PERC_mean_simulated_predictions,IRON_CONCENTRATE_PERC_mean_historical_predictions,SILICA_CONCENTRATE_PERC_mean_historical_predictions,IRON_CONCENTRATE_PERC_mean_historical_actuals,SILICA_CONCENTRATE_PERC_mean_historical_actuals
0,0.0,0.0,57.655400326797384,12.728759337068162,2685.5665495920393,469.37815472099334,399.3389070295922,9.73293481707357,1.655225454967157,293.23360107416113,280.46718681849524,294.03139932699145,299.9518177988701,299.63788758359357,303.489531841066,302.9561175635175,489.7162941883732,510.17530105966193,502.23129353208185,424.550462041662,429.96953629946086,430.8412814558551,428.46932904572014,287.73754210311324,288.534218406489,290.4285106492584,299.86188369533164,299.93919764691765,290.12867015739494,291.51814430727364,503.2741191490407,503.39499592377786,515.6512844627955,469.446646110335,472.7529666752294,476.0356100886048,465.008386886795,65.22998864773653,2.1636248309173163,64.97381010105043,2.3906469902584617,65.10725641715457,2.176702830558417
1,1.0,5.0,56.45504767353165,14.64033752860412,3643.5140307084534,510.8785783386346,399.8943147643849,9.997679725654661,1.692985815164129,280.5583472356865,280.35128489514574,280.34995554500784,299.8613613469351,299.95973116755806,291.88742004619036,290.8784627152107,477.3491496842587,472.76097505720384,478.87674382535107,440.3948792254866,437.3508689963762,436.7413930077312,432.35056839640896,288.72013474247944,275.8580655355497,290.1145139105602,299.88750533668605,299.87475319210625,294.8607189097304,297.1346042316676,599.9894855355477,594.3766102841146,620.3879290752018,498.57975126889636,507.57639515398284,491.2523000151579,488.7332556766486,65.43931104151349,1.9007895220910722,65.27677086770868,2.20851044917172,65.31274332395931,2.138220044793938
2,2.0,8.0,54.52319057567317,16.577688022284125,1812.1159358346056,481.0147146119606,400.0583520825544,9.583304193299682,1.683116530461975,258.7525656546865,258.9745189895327,259.56806368395974,299.7566438260177,300.15892814064,266.30127956607845,267.2653302123927,606.528686794717,602.9850172855713,619.5319384607149,402.2424098316554,413.3243031168208,424.6328528991034,407.6684807968431,275.1664402488426,275.10441549904687,275.29160973328567,299.786553385084,299.9010421568628,276.1939841503268,277.413816723686,400.7883415602873,406.95370824923555,406.0355524206202,480.68753112915306,481.4948189985022,508.908389990128,507.72061835937495,65.12306649675577,2.3131474949882804,64.80755047806045,2.455655470045925,64.71146066435026,2.734397989686034
3,3.0,1.0,54.876912485582466,16.599840686274508,3374.632175888858,499.5588723828164,399.8379601446839,9.9161805848442,1.691267971430149,284.60191017010584,284.14364297034456,284.84896298340016,299.9108100976083,299.8631891748809,302.1342125579618,301.01435155133214,481.5408968215657,484.5495566789441,494.5158039577096,421.5428572954368,418.8030255822773,420.47163485110445,414.9762824771869,228.7662173454835,228.4266790092169,229.35918540242878,299.3716570316468,300.2654861294593,249.745058036279,249.84937141417737,766.1060970535792,761.1853092960871,775.7770161703976,424.6551238499989,443.2373629029023,454.25747336691,435.54545095389705,65.12878325711816,2.4773882188419996,64.96639611537674,2.3475246257840725,65.07197209901108,2.3211518783047183
4,4.0,8.0,55.71220753205128,15.056048878205127,2019.3964760641948,492.81223173490895,399.98276051491246,9.614547209480639,1.7042038923087837,256.0262770765476,254.69222538382283,256.890833723772,299.60125472839206,300.0400972876964,267.2168753111974,267.9106556252911,637.3185118017975,628.8374853763509,647.43957836227,414.51679903167627,425.52265099787957,434.3640963742603,426.7190830844096,275.1664402488426,275.10441549904687,275.29160973328567,299.786553385084,299.9010421568628,276.1939841503268,277.413816723686,400.7883415602873,406.95370824923555,406.0355524206202,480.68753112915306,481.4948189985022,508.908389990128,507.72061835937495,65.0822725448454,2.447351176515976,64.81419537168021,2.776985245831221,64.86307507778373,2.6455969241003254
5,5.0,1.0,54.696405502392345,16.804555422647528,4029.040817665261,528.3128644091635,399.66295003348546,9.957729562541765,1.7046591171893428,282.0643613957558,277.9012028633287,282.1063522051657,299.7940681029394,299.9695007052885,296.5210448409534,288.4178187699916,489.8356294870866,510.1824565060562,492.0555458356877,429.3249063643784,430.97971873173094,442.99396151420143,424.2928306755667,228.7662173454835,228.4266790092169,229.35918540242878,299.3716570316468,300.2654861294593,249.745058036279,249.84937141417737,766.1060970535792,761.1853092960871,775.7770161703976,424.6551238499989,443.2373629029023,454.25747336691,435.54545095389705,65.09143747565302,2.562270167398093,64.86863027718778,2.4283292573291515,65.1928775616706,2.3095665251867556
6,6.0,0.0,57.785029721079106,12.922701188843163,2949.243926707534,473.82804103612614,399.11843418649636,9.711288561845283,1.6707691897545596,290.7831844891215,288.09478997654793,293.0273751522624,299.9034561912129,299.8098538260875,301.73261661032274,300.69436789223664,496.6751559557265,496.2840607108248,506.01746800272167,419.99657611992427,424.302887679162,430.42362115891297,421.3929003507227,287.73754210311324,288.534218406489,290.4285106492584,299.86188369533164,299.93919764691765,290.12867015739494,291.51814430727364,503.2741191490407,503.39499592377786,515.6512844627955,469.446646110335,472.7529666752294,476.0356100886048,465.008386886795,65.268499123804,2.028058829081871,64.8719303236598,2.3858646768335925,65.08662669856835,2.1620113460289745
7,7.0,1.0,53.2831043956044,18.530228937728936,1400.9650207198954,402.4604939349425,400.70277702984237,9.46876736906765,1.6049727428954341,263.84027191191564,263.9126724190869,266.7399723219291,299.72530453557084,300.02878275990753,271.2351052705507,275.728493497644,636.9191537980739,630.579781461384,684.7100114308411,450.63533288057033,493.7387995465049,499.7909117877748,448.50490223903233,228.7662173454835,228.4266790092169,229.35918540242878,299.3716570316468,300.2654861294593,249.745058036279,249.84937141417737,766.1060970535792,761.1853092960871,775.7770161703976,424.6551238499989,443.2373629029023,454.25747336691,435.54545095389705,65.09959915586252,2.5699016048562897,64.79821275429306,2.4360967058900838,65.14439981792249,2.2484930765179185
8,8.0,8.0,57.230282392026574,13.616170404208196,3153.875709296188,493.39773444488554,399.5698404746961,9.776459421828193,1.6750461971949822,288.6530853848386,285.86194132572734,289.7316299637613,299.8939982444463,299.7913001291662,301.90663818925776,299.7094196625763,473.18090345875294,481.4747079673501,485.54969404661887,407.4624865593542,409.34838496557285,411.88210417076795,408.02577365287107,275.1664402488426,275.10441549904687,275.29160973328567,299.786553385084,299.9010421568628,276.1939841503268,277.413816723686,400.7883415602873,406.95370824923555,406.0355524206202,480.68753112915306,481.4948189985022,508.908389990128,507.72061835937495,65.23245815839554,2.2255979745683776,64.94354179566413,2.486814695889095,65.02399159256649,2.284242393251613
9,9.0,0.0,57.49823080279232,12.853117364746945,2371.126215937494,466.57712954628005,399.7469946976778,9.738831413377104,1.655319205111703,286.28171841666733,274.6267828876837,287.2077879410911,299.9169248061088,299.67330084893666,295.1798791938443,296.6469774140869,534.7007431931779,529.395281377223,550.162233488263,424.83245295051336,436.9112441821967,442.00170054560425,426.6381318073852,287.73754210311324,288.534218406489,290.4285106492584,299.86188369533164,299.93919764691765,290.12867015739494,291.51814430727364,503.2741191490407,503.39499592377786,515.6512844627955,469.446646110335,472.7529666752294,476.0356100886048,465.008386886795,65.23875398532867,2.1973344161577146,65.00280755506977,2.3906469902584617,65.10203789804432,2.2894148326685295
